timestamp,FEATURE,prediction,anomaly_score,anomaly_likelihood
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 06:00:00,181.0,181.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.35,0.5
2017-02-17 07:00:00,220.0,181.0,0.375,0.5
2017-02-17 07:00:00,220.0,181.0,0.275,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.15,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 07:00:00,220.0,220.0,0.0,0.5
2017-02-17 08:00:00,210.0,210.0,0.075,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.025,0.5
2017-02-17 08:00:00,210.0,210.0,0.0,0.5
2017-02-17 08:00:00,210.0,210.0,0.0,0.5
2017-02-17 08:00:00,210.0,210.0,0.0,0.5
2017-02-17 08:00:00,210.0,210.0,0.0,0.5
2017-02-17 08:00:00,210.0,210.0,0.0,0.5
2017-02-17 09:00:00,230.0,210.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.05,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 09:00:00,230.0,230.0,0.0,0.5
2017-02-17 10:00:00,309.0,309.0,0.55,0.5
2017-02-17 10:00:00,309.0,230.0,0.975,0.5
2017-02-17 10:00:00,309.0,309.0,0.825,0.5
2017-02-17 10:00:00,309.0,309.0,0.0,0.5
2017-02-17 10:00:00,309.0,309.0,0.0,0.5
2017-02-17 10:00:00,309.0,309.0,0.0,0.5
